name,sku,subtitle,category1,category2,category3,image,ribbon,ribbonColor,weight,price,recommended_price,quantity,enabled,taxClassCode,shipping_freight,fixed_shipping_rate_only,shippingType,shippingMethodMarkup,shippingFlatRate,shippingDisabledMethods,shippingEnabledMethods,upc,brand,seo_title,seo_description,product_url,product_id
Fluvium Flow BJJ Gi | Black,1,,Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/939792558.jpg,,,2,8495,,0,no,default,0,yes,FREE_SHIPPING,0,0,,,,,Fluvium Flow BJJ Gi |  Black,"The Fluvium Flow Series Gi is comfortable, durable, affordable and traditional. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, combining the most effective features from both the double and single-weave Gis, creating a breathable and durable fabric for heavy usage and comfort.",https://fluviumwear.com/#!/Fluvium-Flow-BJJ-Gi-Black/p/110665020,110665020
Fluvium Flow BJJ Gi | White,2,,Fight Gear / Jiu Jitsu / Gi,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/939792279.jpg,,,2,8495,,0,no,default,0,yes,FREE_SHIPPING,0,0,,,,,Fluvium Flow: White Gi,"The Fluvium Flow Series Gi is comfortable, durable, affordable and traditional. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, combining the most effective features from both the double and single-weave Gis, creating a breathable and durable fabric for heavy usage and comfort.",https://fluviumwear.com/#!/Fluvium-Flow-BJJ-Gi-White/p/110665027,110665027
Fluvium Flow Series - Blue,4,,,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/857417097.jpg,,,2,8495,,0,no,default,0,yes,FREE_SHIPPING,0,0,,,,,Fluvium Flow Series - Blue Gi,"The Fluvium Flow Series Gi is comfortable, durable, affordable and traditional. Built to last and designed for heavy-duty daily training, simple look, and feel good on the mats. A super-soft and incredibly strong pearl-weave material, combining the most effective features from both the double and single-weave Gis, creating a breathable and durable fabric for heavy usage and comfort.",https://fluviumwear.com/#!/Fluvium-Flow-Series-Blue/p/110665026,110665026
Fluvium Flow Series: Black Ranked Rashguard,11,,Fight Gear / MMA,Fight Gear / Jiu Jitsu / No Gi,Surf Gear,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/939792208.jpg,,,0,1950,,0,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,"Drillers makes killers. The Fluvium Flow Series Rashguard is designed to those who are persistent during the ups and downs of training to be the best they can be. Everyone goes through a period of good and bad - this rashguard represents your perseverance through life to, to come to terms with it and reach a flow state of mind.",https://fluviumwear.com/#!/Fluvium-Flow-Series-Black-Ranked-Rashguard/p/115771864,115771864
Fluvium Flow Series: Blue Ranked Rashguard,12,,Fight Gear / MMA,Fight Gear / Jiu Jitsu / No Gi,Surf Gear,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/939792236.jpg,,,0,1995,,0,no,default,0,no,GLOBAL_METHODS,0,0,,,,,,"Drillers makes killers. The Fluvium Flow Series Rashguard is designed to those who are persistent during the ups and downs of training to be the best they can be. Everyone goes through a period of good and bad - this rashguard represents your perseverance through life to, to come to terms with it and reach a flow state of mind.",https://fluviumwear.com/#!/Fluvium-Flow-Series-Blue-Ranked-Rashguard/p/115820665,115820665
Fluvium Full Sleeve Ranked Rashguards | 1.0,54,,Thrift Shop,Surf Gear,Fight Gear / MMA,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1447617250.jpg,,,0,995,,,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Full-Sleeve-Ranked-Rashguards-1-0/p/202211774,202211774
Fluvium Full Sleeve Rashguard | Legacy Series | Be Water,23343,,Surf Gear,Fight Gear / Jiu Jitsu / No Gi,Fight Gear / MMA,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/3785691845.jpg,,,0,1750,,48,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,Fluvium Abstract : Full Sleeve Rashguard,"The Fluvium Abstract full sleeve Rash Guard is developed and designed by passionate artists in the hope of awakening the artist in you. Whether you choose to wear the rashguard to train jiu jitsu, MMA, surf or even head to the gym to lift some weights, we hope you are inspired to step outside your comfort zone to try new moves, techniques or use new methods.",https://fluviumwear.com/#!/Fluvium-Full-Sleeve-Rashguard-Legacy-Series-Be-Water/p/578633979,578633979
Fluvium Gel Max Easy Slip-On Handwraps,23278,,Fight Gear / MMA,Fight Gear / Boxing,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/1804299076.jpg,,,0,895,,0,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Gel-Max-Easy-Slip-On-Handwraps/p/262955303,262955303
Fluvium Head Guard | White & Blue,23367,,Fight Gear / Boxing,Fight Gear / MMA,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/4082899334.jpg,,,0,3185,,5,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Head-Guard-White-&-Blue/p/623043751,623043751
Fluvium Judo Mats/Tatami | 2m x 1m,23281,,Sports Mats,,,https://d2j6dbq0eux0bg.cloudfront.net/images/14404144/2031741262.jpg,,,0,5500,,,yes,default,0,no,GLOBAL_METHODS,0,0,,,,,,,https://fluviumwear.com/#!/Fluvium-Judo-Mats-Tatami-2m-x-1m/p/300855023,300855023
