name,slug,optionValue,variantSku,description,variantPrice,variantTaxCategory,variantStockOnHand,variantTrackInventory,assets,channelCode,category,subcategory,brand
Abbie's Maple Pancake Syrup,abbie's-maple-pancake-syrup,710ml,ABB038,"<p><span class=""a-truncate-full a-offscreen""> Abbie's </span><span class=""a-truncate-cut"">Pancake Maple Syrup is guaranteed to sweeten your day. It is made with 2% maple. Enjoy a drizzle of this syrup with pancakes, waffles, ice creams, French toast, and any other preparation you like. It can easily be your favorite accompaniment through breakfast, lunch, and dinner</span></p><ul><li>Mostly used as a drizzle on top of pancakes and waffles, maple syrup can be used to garnish other food </li><li>Produced & Packed in the USA</li><li>With 2% Real Maple Syrup</li><li>Drizzle over Ice cream, cakes, and other DessertsNet Weight: 710g Bottle </li></ul>",425,GST5,0,TRUE,abbie's-maple-pancake-syrup-710-ml.jpg,stalks-n-spice,"Breakfast, Dairy & Frozen Food",Desert Syrups & Sauces,Abbie's
Abbie's Peanut Butter Chunky,abbie's-peanut-butter-chunky,510gm,ABB039,"<p>Abbie's creamy peanut butter is delicious and packed with vital nutrients along with loads of energy. It is a powerhouse of nutrition that has a taste that you will never forget.</p><ul><li>It can be enjoyed with bread, milk, fruits, ice cream, sweets, etc. </li><li>It is a very good source of proteins and is high in folate, niacin, fiber, riboflavin, and vitamins.</li></ul>",285,GST12,0,TRUE,abbie's-peanut-butter-chunky-510-gm.jpg,stalks-n-spice,"Breakfast, Dairy & Frozen Food",Desert Syrups & Sauces,Abbie's
Abbie's Peanut Butter Creamy,abbie's-peanut-butter-creamy,510gm,ABB040,"<p>Abbie's creamy peanut butter is delicious and packed with vital nutrients along with loads of energy. It is a powerhouse of nutrition that has a taste that you will never forget.</p><ul><li>It can be enjoyed with bread, milk, fruits, ice cream, sweets, etc. </li><li>It is a very good source of proteins and is high in folate, niacin, fiber, riboflavin, and vitamins.</li></ul>",285,GST12,0,TRUE,abbie's-peanut-butter-creamy-510-gm.jpg,stalks-n-spice,"Breakfast, Dairy & Frozen Food",Desert Syrups & Sauces,Abbie's
Abbie's Pomace Olive Oil for Cooking with Goodness of 15% Extra Virgin Olive Oil,abbie's-pomace-olive-oil-for-cooking-with-goodness-of-15%-extra-virgin-olive-oil,5L,ABB041,"<ul><li> 5ltr Pomace Olive Oil with 15% Extra Virgin Olive Oil

</li><li> Suitable to cook Indian Meals due to it's neutral taste and maintains the good quality even at high temperatures while cooking.

</li><li> Available in 5l and 1l Pack size.

</li><li> Net Wt : 5l Tin (per unit) - Pack of 1

</li><li> Abbie's provides Extra Virgin Olive Oil and Pomace Olive Oil for different cooking needs.

</li></ul>","1,950.00",GST5,0,TRUE,abbie's-pomace-olive-oil-1lt.jpg,stalks-n-spice,Oils & Ghee,Olive & Almond Oil,Abbie's
Abbie's Pomace Olive Oil,abbie's-pomace-olive-oil,1L,ABB042,"<p>Abbie's Pomace Olive Oil is obtained from a balanced blend of refined Olive. light in taste, its proven resistance to high temperatures makes it particularly suitable for frying, sautÃ©ing, and even baking while maintaining its delicate aroma and nutritional characteristics.</p><ul><li><span class=""a-list-item"">Packed in Italy</span></li><li><span class=""a-list-item"">Suitable for Salads, Dressing Meat, Fish and Vegetables, and for Cooking Sauces, Soups, and Side Dish</span></li><li>Abbie's provides Extra Virgin Olive Oil and Pomace Olive Oil for different cooking needs</li></ul>",400,GST5,0,TRUE,abbie's-pomace-olive-oil-1lt.jpg,stalks-n-spice,Oils & Ghee,Olive & Almond Oil,Abbie's
Abbie's Quinoa Seeds,abbie's-quinoa-seeds,500gm,ABB043,"<p><span></span>Abbie's Quinoa Seeds are very high in protein, with all the essential amino acids- Quinoa is high in protein compared to most plant foods. It also contains all the essential amino acids and protein source for vegetarians and vegans.</p><ul><li><span class=""a-list-item"">Very High in Fiber, Much Higher Than Most Grains- Quinoa is much higher in fiber than most grains.</span></li><li><span class=""a-list-item"">Beneficial Effects on Metabolic Health- Quinoa can improve metabolic health, by reducing blood sugar, insulin, and triglyceride levels.</span></li><li><span class=""a-list-item"">lose Weight- Quinoa is high in fiber, protein and has a low glycemic index. These properties have all been linked to weight loss and improved health.</span></li></ul>",220,GST12,0,TRUE,abbie's-quinoa-seeds-500g.jpg,stalks-n-spice,"Herbs, Spices & Provisions",Whole Spices & Seeds,Abbie's
Abbie's Sun Dried tomatoes,abbie's-sun-dried-tomatoes,280gm,ABB044,"<p>Sun-dried tomato halves are dark red in color and have a sweet, intense taste and chewy texture.</p><ul><li><span class=""a-list-item"">These tomatoes are firm and hold up well in sauces, salads, and marinades.</span></li><li><span class=""a-list-item"">Soft consistency, easy to slice or dice, accepts oil and marinades very well.</span></li><li><span class=""a-list-item"">Kosher and gluten free with zero grams of trans fat.</span></li></ul><p><span></span></p>",290,GST12,0,TRUE,abbie's-sun-dried-tomatoes-280g.jpg,stalks-n-spice,Fruits & Vegetables,"Potato, Onion & Tomato",Abbie's
Abbie's US Mustard Sauce,abbie's-us-mustard-sauce,255gm,ABB045,"<p>American Garden Mustard Sauce is Made from one of the worldâ€™s best mustard powders, it adds a zing to sandwiches, hotdogs and pizzas.<br></p><ul><li>Mustard seeds are high within the minerals atomic number 34 and Mg in addition as being a lesser-known supply of brain-boosting omega-3 fatty acid fatty acids. </li><li>Atomic number 34 and Mg have sturdy anti-inflammatory drug properties. </li></ul><p><br></p>",122,GST12,0,TRUE,abbie's-us-mustard-sauce-255g.jpg,stalks-n-spice,Sauces & Pastes,Seasoning Sauce,Abbie's
Abbie's US Mustard Sauce,abbie's-us-mustard-sauce,397gm,ABB046,"<p>American Garden Mustard Sauce is Made from one of the worldâ€™s best mustard powders, it adds a zing to sandwiches, hotdogs and pizzas.<br></p><ul><li>Mustard seeds are high within the minerals atomic number 34 and Mg in addition as being a lesser-known supply of brain-boosting omega-3 fatty acid fatty acids. </li><li>Atomic number 34 and Mg have sturdy anti-inflammatory drug properties. </li></ul><p><br></p>",150,GST12,0,TRUE,abbie's-us-mustard-sauce-397g.jpg,stalks-n-spice,Sauces & Pastes,Seasoning Sauce,Abbie's
Abbie's White Distilled Vinegar,abbie's-white-distilled-vinegar,473ml,ABB047,"<p>Abbie's White Distilled Vinegar With a clean, crisp flavor, it's ideal for your favorite marinades, salads, and recipes. </p><p><br></p><ul><li>This is a Vegetarian product.</li><li><span class=""a-list-item"">Produced & Packed in USA</span></li><li><span class=""a-list-item"">Best before 24 months from the date of manufacturing </span></li></ul>",119,GST12,0,TRUE,abbie's-white-distilled-vinegar-473-ml.jpg,stalks-n-spice,Sauces & Pastes,Vinegar,Abbie's
